GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.fraud.system,com.fraud.system,FraudSystemApplication,9,0,0,0,3,0,2,0,2,0
com.fraud.system,com.fraud.system.domain.user,UserRole,3,25,0,0,1,6,1,2,1,2
com.fraud.system,com.fraud.system.domain.user,User,152,40,7,3,17,13,26,8,22,7
com.fraud.system,com.fraud.system.domain.user,RegisterDTO,0,12,0,0,0,1,0,1,0,1
com.fraud.system,com.fraud.system.domain.user,User.UserBuilder,99,0,0,0,1,0,13,0,13,0
com.fraud.system,com.fraud.system.domain.user,AuthenticationDTO,0,9,0,0,0,1,0,1,0,1
com.fraud.system,com.fraud.system.domain.user,LoginResponseDTO,0,6,0,0,0,1,0,1,0,1
com.fraud.system,com.fraud.system.exceptions,CustomException,0,17,0,0,0,6,0,3,0,3
com.fraud.system,com.fraud.system.exceptions,GlobalExceptionHandler,0,35,0,0,0,8,0,3,0,3
com.fraud.system,com.fraud.system.domain.transaction,Transaction,43,29,0,0,5,9,7,6,7,6
com.fraud.system,com.fraud.system.domain.transaction,TransactionResponseDTO,21,0,0,0,3,0,2,0,2,0
com.fraud.system,com.fraud.system.domain.transaction,Transaction.TransactionBuilder,45,0,0,0,1,0,7,0,7,0
com.fraud.system,com.fraud.system.domain.transaction,TransactionRequestDTO,12,0,0,0,1,0,1,0,1,0
com.fraud.system,com.fraud.system.controllers,AuthenticationController,31,54,2,2,8,11,1,4,0,3
com.fraud.system,com.fraud.system.controllers,UserController,0,40,0,2,0,7,0,4,0,3
com.fraud.system,com.fraud.system.controllers,TransactionController,0,29,0,2,0,6,0,4,0,3
com.fraud.system,com.fraud.system.services,TransactionServiceImpl,37,107,11,7,7,24,9,7,1,6
com.fraud.system,com.fraud.system.services,AuthorizationService,0,24,0,2,0,5,0,3,0,2
com.fraud.system,com.fraud.system.security,SecurityFilter,45,0,6,0,12,0,6,0,3,0
com.fraud.system,com.fraud.system.security,SecurityConfigurations,79,0,0,0,14,0,7,0,7,0
com.fraud.system,com.fraud.system.security,TokenService,147,0,6,0,44,0,12,0,9,0
